Año,Trimestre,Mbps (Media de bajada),Trimestre.1,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_x,Periodo_x,Banda ancha fija,Dial up,Total_y,Periodo_y,Accesos por cada 100 hogares,Accesos por cada 100 hab,Periodo,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Total,Fecha
2014,1,3.6171267670209,Ene-Mar 2014,3697066,2407330,150323,70749,72930,6398398,Ene-Mar 2014,6362108,36290,6398398,Ene-Mar 2014,49.545821345017,15.0501038728932,Ene-Mar 2014,52684,687619,5130294,289182,101127,345,11595,0,6272846,2014-01-01
2014,2,3.75871218894443,Abr-Jun 2014,3708882,2461670,149363,72405,72148,6464468,Abr-Jun 2014,6428329,36139,6464468,Abr-Jun 2014,49.8614284376576,15.1639080079061,Abr-Jun 2014,41064,656408,5149574,341689,147273,478,12259,0,6348745,2014-04-01
2014,3,3.86726501227843,Jul-Sept 2014,3714764,2569868,155494,85096,70049,6595271,Jul-Sept 2014,6559264,36007,6595271,Jul-Sept 2014,50.6723681347231,15.4287688044283,Jul-Sept 2014,37430,608018,5153437,373372,182483,507,12424,0,6367671,2014-07-01
2014,4,4.15688796190556,Oct-Dic 2014,3764038,2536219,149682,76984,71573,6598496,Oct-Dic 2014,6559172,39324,6598496,Oct-Dic 2014,50.4997884742653,15.3946769684574,Oct-Dic 2014,44075,554749,5084556,496251,276254,4371,15229,0,6475485,2014-10-01
2015,1,4.35027886167618,Ene-Mar 2015,3756153,2668248,168188,79098,66045,6737732,Ene-Mar 2015,6699714,38018,6737732,Ene-Mar 2015,51.3645863622347,15.6772340033791,Ene-Mar 2015,41158,516919,5121423,571620,348102,7643,16347,0,6623212,2015-01-01
2015,2,4.54538147818226,Abr-Jun 2015,3767821,2756294,150839,82077,59157,6816188,Abr-Jun 2015,6783279,32909,6816188,Abr-Jun 2015,51.7602660815406,15.8172335655737,Abr-Jun 2015,40723,500175,5138431,645440,432762,10045,18529,0,6786105,2015-04-01
2015,3,4.78891116867562,Jul-Sept 2015,3788696,2840203,162663,84530,58976,6935068,Jul-Sept 2015,6902267,32801,6935068,Jul-Sept 2015,52.4591062215395,16.0502891476947,Jul-Sept 2015,35030,455777,5087802,701187,539414,13101,20677,0,6852988,2015-07-01
2015,4,4.99044890054109,Oct-Dic 2015,3803024,2898226,139187,85726,58668,6984831,Oct-Dic 2015,6952289,32542,6984831,Oct-Dic 2015,52.6308875044894,16.1226969462781,Oct-Dic 2015,34243,427394,5049640,726740,639011,17568,22170,0,6916766,2015-10-01
2016,1,5.08370177629755,Ene-Mar 2016,3792493,2806359,164371,85370,58763,6907356,Ene-Mar 2016,6874704,32652,6907356,Ene-Mar 2016,51.845451696958,15.9018018688339,Ene-Mar 2016,30428,404810,4944358,762999,641646,27664,23380,0,6835285,2016-01-01
2016,2,5.42353097512933,Abr-Jun 2016,3782085,3035272,167788,85452,59482,7130079,Abr-Jun 2016,7097604,32475,7130079,Abr-Jun 2016,53.3422011526116,16.3713514993317,Abr-Jun 2016,44008,384221,5058481,796998,785759,73977,29020,0,7172464,2016-04-01
2016,3,5.9387765869846,Jul-Sept 2016,3776442,3124855,169898,81455,54300,7206950,Jul-Sept 2016,7178340,28610,7206950,Jul-Sept 2016,53.7341862288777,16.5046756740027,Jul-Sept 2016,20104,294413,4816081,936533,919208,124564,31022,0,7141925,2016-07-01
2016,4,6.33738413446842,Oct-Dic 2016,3722794,3210602,178070,85119,55088,7251673,Oct-Dic 2016,7223128,28545,7251673,Oct-Dic 2016,53.9360186642862,16.5640000309732,Oct-Dic 2016,20724,233398,4673339,971094,1038029,169522,38590,0,7144696,2016-10-01
2017,1,6.62407908134137,Ene-Mar 2017,3708898,3276251,180146,84813,55746,7305854,Ene-Mar 2017,7277314,28540,7305854,Ene-Mar 2017,54.1621158241475,16.6445653587914,Ene-Mar 2017,20653,230159,4584534,975027,1129987,210668,47990,0,7199018,2017-01-01
2017,2,7.15995552367739,Abr-Jun 2017,3723518,3383434,180777,85813,56122,7429664,Abr-Jun 2017,7401134,28530,7429664,Abr-Jun 2017,54.9011906598371,16.8829367167329,Abr-Jun 2017,22366,222766,4416065,990281,1342000,231604,98635,0,7323717,2017-04-01
2017,3,8.33904815764714,Jul-Sept 2017,3622575,3670221,193964,106443,131740,7724943,Jul-Sept 2017,7696594,28349,7724943,Jul-Sept 2017,56.8992214122315,17.5090322340829,Jul-Sept 2017,19022,217997,4062226,1062810,1592304,353480,245790,0,7553629,2017-07-01
2017,4,12.0076260812107,Oct-Dic 2017,3584311,3818157,211425,155775,100554,7870222,Oct-Dic 2017,7842778,27444,7870222,Oct-Dic 2017,57.7823509631833,17.7929770681446,Oct-Dic 2017,15041,221474,3773159,1005545,1730353,631946,337559,155145,7870222,2017-10-01
